;show_date;Artist;Title;Album;Year
0;Jan 19. 2023;Portugal. The Man;Modern Jesus;Evil Friends;2013
1;Jan 19. 2023;The Shins;Young Pilgrims;Chutes Too Narrow;2003
2;Jan 19. 2023;Black Lips;Family Tree;Family Tree;2011
3;Jan 19. 2023;Pavement;Stereo;Stereo;2010
4;Jan 19. 2023;Violent Femmes;Blister In The Sun;Violent Femmes;1996
5;Jan 19. 2023;The Raconteurs;Carolina Drama;Consolers Of The Lonely;2008
6;Jan 19. 2023;The Brian Jonestown Massacre;Going To Hell;Strung Out In Heaven;1998
7;Jan 19. 2023;Delta Spirit;Ode To Sunshine;Ode To Sunshine;2009
8;Jan 19. 2023;Hinds;Chili Town;Chili Town;2015
9;Jan 19. 2023;Hole;Celebrity Skin;1;2007
10;Jan 19. 2023;Yo La Tengo;Sugarcube;Prisoners of Love - A Smattering of Scintillating Senescent Songs 1985-2003;2005
11;Jan 19. 2023;The Psychedelic Furs;Pretty in Pink;Essential Rock - Definitive Rock Classics And Power Ballads;2009
12;Jan 19. 2023;Purple Mountains;Darkness and Cold;Darkness and Cold;2019
13;Jan 19. 2023;Sylvan Esso;PARAD(w/m)E;PARAD(w/m)E;2018
14;Jan 19. 2023;R.E.M.;Orange Crush;Green;2013
15;Jan 19. 2023;The Breeders;Drivin' on 9;Drivin' on 9;1993
16;Jan 19. 2023;Parquet Courts;Everyday It Starts;Everyday It Starts;2014
17;Jan 19. 2023;My Morning Jacket;Into The Woods;Z;2005
18;Jan 19. 2023;Cold War Kids;Hospital Beds;Robbers & Cowards;2016
19;Jan 19. 2023;Band Of Horses;Ode to LRC;Cease to Begin;2007
20;Jan 19. 2023;Silversun Pickups;Growing Old Is Getting Old;Swoon;2009
21;Jan 19. 2023;The White Stripes;I'm Slowly Turning Into You;I'm Slowly Turning Into You;2007
22;Jan 19. 2023;Radiohead;Man of War;Man of War;2017
23;Jan 19. 2023;Sufjan Stevens;Chicago;Illinois;2005
24;Jan 19. 2023;The Rapture;Out Of The Races And Onto The Tracks (Album);Out Of The Races And Onto The Tracks;2016
25;Jan 19. 2023;The Black Angels;Young Men Dead;Passover;2008
26;Jan 19. 2023;Courtney Barnett;Elevator Operator;Sometimes I Sit and Think. and Sometimes I Just Sit;2015
27;Jan 19. 2023;Adia Victoria;Dead Eyes;Beyond The Bloodhounds;2016
28;Jan 19. 2023;Dr. Dog;That Old Black Hole;Be The Void;2012
29;Jan 19. 2023;Vampire Weekend;Diane Young;Diane Young;2013
30;Jan 15. 2023;Portugal. The Man;Modern Jesus;Evil Friends;2013
31;Jan 15. 2023;The Shins;Young Pilgrims;Chutes Too Narrow;2003
32;Jan 15. 2023;Black Lips;Family Tree;Family Tree;2011
33;Jan 15. 2023;Pavement;Stereo;Stereo;2010
34;Jan 15. 2023;Violent Femmes;Blister In The Sun;Violent Femmes;1996
35;Jan 15. 2023;The Raconteurs;Carolina Drama;Consolers of the Lonely;2008
